De Nationale Postcode Loterij en Free Press Unlimited/Buitenlandjournalistiek jonge journalisten,schrijver
De Nationale Postcode Loterij en Free Press Unlimited/buitenlandjournalistiek jonge journalisten,fotograaf
De Nationale Postcode Loterij en Free Press Unlimited/buitenlandjournalistiek jonge journalisten,filmmaker
Mediafonds provincie Utrecht/lokale en regionale journalistiek ,lokale journalist
Mediafonds provincie Utrecht/lokale en regionale journalistiek ,regionale journalist
Mediafonds provincie Utrecht/lokale en regionale journalistiek ,freelancer
Stimuleringsfonds vd Journalistiek/vernieuwingstraject voor lokale organisaties en onderzoeksredacties,journalistieke organisatie
Stimuleringsfonds vd Journalistiek/vernieuwingstraject voor lokale organisaties en onderzoeksredacties ,onderzoeksredactie
Fonds Bijzondere Journalistieke Projecten/lokale en regionale journalistiek,lokale journalist
Fonds Bijzondere Journalistieke Projecten/lokale en regionale journalistiek,regionale journalist
Het Matchingfonds van De Coöperatie/werkbeurs,schrijver
Het Matchingfonds van De Coöperatie/werkbeurs,freelancer
Hilversums Mediafonds/lokale media en journalistiek,journalistieke organisatie
"Fonds 1877/onderzoeksverhalen over politiek, economie of maatschappij ",freelancer
"Fonds 1877/onderzoeksverhalen over politiek, economie of maatschappij ",vastedienster
Fonds Bijzondere Journalistieke Projecten/Regeling Journalistieke Projectsubsidies,schrijver
Fonds Bijzondere Journalistieke Projecten/Regeling Journalistieke Projectsubsidies,tv maker
Fonds Bijzondere Journalistieke Projecten/Regeling Journalistieke Projectsubsidies,radiomaker
Fonds Bijzondere Journalistieke Projecten/Beurs Expertisebevordering,onderzoeksjournalisten
Leids Mediafonds/Leiden,freelancer
Leids Mediafonds/Leiden,journalistieke organisatie
Leids Mediafonds/Leiden/nieuw journalistiek talent,studenten